taskId,label,o_Mass flow,c_Design,o_Pressure ratio,c_Speed,c_Factor Name,c_Factor Value,s_rotor1,s_rotor2,s_rotor3,s_stator1,s_stator2,s_stator3,c2d_rotor1_exit,c2d_rotor2_exit,c2d_rotor3_exit,c2d_stator1_exit,c2d_stator2_exit,c2d_stator3_exit
.\data\task_16,Design A 80% p2_120000,41.51446,Design A,1.418139,0.8,DA,1,.\data\task_16\rotor1\Mis_line1d_mid_rotor1_task_16.json,.\data\task_16\rotor2\Mis_line1d_mid_rotor2_task_16.json,.\data\task_16\rotor3\Mis_line1d_mid_rotor3_task_16.json,.\data\task_16\stator1\Mis_line1d_mid_stator1_task_16.json,.\data\task_16\stator2\Mis_line1d_mid_stator2_task_16.json,.\data\task_16\stator3\Mis_line1d_mid_stator3_task_16.json,.\data\task_16\rotor1\ent_area2d_exit_rotor1_task_16.json,.\data\task_16\rotor2\ent_area2d_exit_rotor2_task_16.json,.\data\task_16\rotor3\ent_area2d_exit_rotor3_task_16.json,.\data\task_16\stator1\ent_area2d_exit_stator1_task_16.json,.\data\task_16\stator2\ent_area2d_exit_stator2_task_16.json,.\data\task_16\stator3\ent_area2d_exit_stator3_task_16.json
.\data\task_17,Design A 80% p2_130000,40.48046,Design A,1.488192,0.8,GAC,1.04,.\data\task_17\rotor1\Mis_line1d_mid_rotor1_task_17.json,.\data\task_17\rotor2\Mis_line1d_mid_rotor2_task_17.json,.\data\task_17\rotor3\Mis_line1d_mid_rotor3_task_17.json,.\data\task_17\stator1\Mis_line1d_mid_stator1_task_17.json,.\data\task_17\stator2\Mis_line1d_mid_stator2_task_17.json,.\data\task_17\stator3\Mis_line1d_mid_stator3_task_17.json,.\data\task_17\rotor1\ent_area2d_exit_rotor1_task_17.json,.\data\task_17\rotor2\ent_area2d_exit_rotor2_task_17.json,.\data\task_17\rotor3\ent_area2d_exit_rotor3_task_17.json,.\data\task_17\stator1\ent_area2d_exit_stator1_task_17.json,.\data\task_17\stator2\ent_area2d_exit_stator2_task_17.json,.\data\task_17\stator3\ent_area2d_exit_stator3_task_17.json
.\data\task_18,Design A 80% p2_140000,38.85016,Design A,1.561516,0.8,DA,0.96,.\data\task_18\rotor1\Mis_line1d_mid_rotor1_task_18.json,.\data\task_18\rotor2\Mis_line1d_mid_rotor2_task_18.json,.\data\task_18\rotor3\Mis_line1d_mid_rotor3_task_18.json,.\data\task_18\stator1\Mis_line1d_mid_stator1_task_18.json,.\data\task_18\stator2\Mis_line1d_mid_stator2_task_18.json,.\data\task_18\stator3\Mis_line1d_mid_stator3_task_18.json,.\data\task_18\rotor1\ent_area2d_exit_rotor1_task_18.json,.\data\task_18\rotor2\ent_area2d_exit_rotor2_task_18.json,.\data\task_18\rotor3\ent_area2d_exit_rotor3_task_18.json,.\data\task_18\stator1\ent_area2d_exit_stator1_task_18.json,.\data\task_18\stator2\ent_area2d_exit_stator2_task_18.json,.\data\task_18\stator3\ent_area2d_exit_stator3_task_18.json
.\data\task_19,Design A 80% p2_150000,36.80598,Design A,1.637649,0.8,GAC,1,.\data\task_19\rotor1\Mis_line1d_mid_rotor1_task_19.json,.\data\task_19\rotor2\Mis_line1d_mid_rotor2_task_19.json,.\data\task_19\rotor3\Mis_line1d_mid_rotor3_task_19.json,.\data\task_19\stator1\Mis_line1d_mid_stator1_task_19.json,.\data\task_19\stator2\Mis_line1d_mid_stator2_task_19.json,.\data\task_19\stator3\Mis_line1d_mid_stator3_task_19.json,.\data\task_19\rotor1\ent_area2d_exit_rotor1_task_19.json,.\data\task_19\rotor2\ent_area2d_exit_rotor2_task_19.json,.\data\task_19\rotor3\ent_area2d_exit_rotor3_task_19.json,.\data\task_19\stator1\ent_area2d_exit_stator1_task_19.json,.\data\task_19\stator2\ent_area2d_exit_stator2_task_19.json,.\data\task_19\stator3\ent_area2d_exit_stator3_task_19.json
.\data\task_20,Design B 100% p2_140000,51.77788,Design B,1.70802,1,DA,1.04,.\data\task_20\rotor1\Mis_line1d_mid_rotor1_task_20.json,.\data\task_20\rotor2\Mis_line1d_mid_rotor2_task_20.json,.\data\task_20\rotor3\Mis_line1d_mid_rotor3_task_20.json,.\data\task_20\stator1\Mis_line1d_mid_stator1_task_20.json,.\data\task_20\stator2\Mis_line1d_mid_stator2_task_20.json,.\data\task_20\stator3\Mis_line1d_mid_stator3_task_20.json,.\data\task_20\rotor1\ent_area2d_exit_rotor1_task_20.json,.\data\task_20\rotor2\ent_area2d_exit_rotor2_task_20.json,.\data\task_20\rotor3\ent_area2d_exit_rotor3_task_20.json,.\data\task_20\stator1\ent_area2d_exit_stator1_task_20.json,.\data\task_20\stator2\ent_area2d_exit_stator2_task_20.json,.\data\task_20\stator3\ent_area2d_exit_stator3_task_20.json
.\data\task_21,Design B 100% p2_150000,51.74968,Design B,1.786447,1,GAC,0.96,.\data\task_21\rotor1\Mis_line1d_mid_rotor1_task_21.json,.\data\task_21\rotor2\Mis_line1d_mid_rotor2_task_21.json,.\data\task_21\rotor3\Mis_line1d_mid_rotor3_task_21.json,.\data\task_21\stator1\Mis_line1d_mid_stator1_task_21.json,.\data\task_21\stator2\Mis_line1d_mid_stator2_task_21.json,.\data\task_21\stator3\Mis_line1d_mid_stator3_task_21.json,.\data\task_21\rotor1\ent_area2d_exit_rotor1_task_21.json,.\data\task_21\rotor2\ent_area2d_exit_rotor2_task_21.json,.\data\task_21\rotor3\ent_area2d_exit_rotor3_task_21.json,.\data\task_21\stator1\ent_area2d_exit_stator1_task_21.json,.\data\task_21\stator2\ent_area2d_exit_stator2_task_21.json,.\data\task_21\stator3\ent_area2d_exit_stator3_task_21.json
.\data\task_22,Design B 100% p2_160000,51.55848,Design B,1.865749,1,DA,1,.\data\task_22\rotor1\Mis_line1d_mid_rotor1_task_22.json,.\data\task_22\rotor2\Mis_line1d_mid_rotor2_task_22.json,.\data\task_22\rotor3\Mis_line1d_mid_rotor3_task_22.json,.\data\task_22\stator1\Mis_line1d_mid_stator1_task_22.json,.\data\task_22\stator2\Mis_line1d_mid_stator2_task_22.json,.\data\task_22\stator3\Mis_line1d_mid_stator3_task_22.json,.\data\task_22\rotor1\ent_area2d_exit_rotor1_task_22.json,.\data\task_22\rotor2\ent_area2d_exit_rotor2_task_22.json,.\data\task_22\rotor3\ent_area2d_exit_rotor3_task_22.json,.\data\task_22\stator1\ent_area2d_exit_stator1_task_22.json,.\data\task_22\stator2\ent_area2d_exit_stator2_task_22.json,.\data\task_22\stator3\ent_area2d_exit_stator3_task_22.json
.\data\task_23,Design B 100% p2_170000,50.79425,Design B,1.944848,1,GAC,1.04,.\data\task_23\rotor1\Mis_line1d_mid_rotor1_task_23.json,.\data\task_23\rotor2\Mis_line1d_mid_rotor2_task_23.json,.\data\task_23\rotor3\Mis_line1d_mid_rotor3_task_23.json,.\data\task_23\stator1\Mis_line1d_mid_stator1_task_23.json,.\data\task_23\stator2\Mis_line1d_mid_stator2_task_23.json,.\data\task_23\stator3\Mis_line1d_mid_stator3_task_23.json,.\data\task_23\rotor1\ent_area2d_exit_rotor1_task_23.json,.\data\task_23\rotor2\ent_area2d_exit_rotor2_task_23.json,.\data\task_23\rotor3\ent_area2d_exit_rotor3_task_23.json,.\data\task_23\stator1\ent_area2d_exit_stator1_task_23.json,.\data\task_23\stator2\ent_area2d_exit_stator2_task_23.json,.\data\task_23\stator3\ent_area2d_exit_stator3_task_23.json
.\data\task_24,Design B 100% p2_180000,49.72235,Design B,2.02485,1,DA,0.96,.\data\task_24\rotor1\Mis_line1d_mid_rotor1_task_24.json,.\data\task_24\rotor2\Mis_line1d_mid_rotor2_task_24.json,.\data\task_24\rotor3\Mis_line1d_mid_rotor3_task_24.json,.\data\task_24\stator1\Mis_line1d_mid_stator1_task_24.json,.\data\task_24\stator2\Mis_line1d_mid_stator2_task_24.json,.\data\task_24\stator3\Mis_line1d_mid_stator3_task_24.json,.\data\task_24\rotor1\ent_area2d_exit_rotor1_task_24.json,.\data\task_24\rotor2\ent_area2d_exit_rotor2_task_24.json,.\data\task_24\rotor3\ent_area2d_exit_rotor3_task_24.json,.\data\task_24\stator1\ent_area2d_exit_stator1_task_24.json,.\data\task_24\stator2\ent_area2d_exit_stator2_task_24.json,.\data\task_24\stator3\ent_area2d_exit_stator3_task_24.json
.\data\task_25,Design B 100% p2_190000,48.22643,Design B,2.105013,1,GAC,1,.\data\task_25\rotor1\Mis_line1d_mid_rotor1_task_25.json,.\data\task_25\rotor2\Mis_line1d_mid_rotor2_task_25.json,.\data\task_25\rotor3\Mis_line1d_mid_rotor3_task_25.json,.\data\task_25\stator1\Mis_line1d_mid_stator1_task_25.json,.\data\task_25\stator2\Mis_line1d_mid_stator2_task_25.json,.\data\task_25\stator3\Mis_line1d_mid_stator3_task_25.json,.\data\task_25\rotor1\ent_area2d_exit_rotor1_task_25.json,.\data\task_25\rotor2\ent_area2d_exit_rotor2_task_25.json,.\data\task_25\rotor3\ent_area2d_exit_rotor3_task_25.json,.\data\task_25\stator1\ent_area2d_exit_stator1_task_25.json,.\data\task_25\stator2\ent_area2d_exit_stator2_task_25.json,.\data\task_25\stator3\ent_area2d_exit_stator3_task_25.json
.\data\task_26,Design B 90% p2_110000,46.71263,Design B,1.435862,0.9,DA,1.04,.\data\task_26\rotor1\Mis_line1d_mid_rotor1_task_26.json,.\data\task_26\rotor2\Mis_line1d_mid_rotor2_task_26.json,.\data\task_26\rotor3\Mis_line1d_mid_rotor3_task_26.json,.\data\task_26\stator1\Mis_line1d_mid_stator1_task_26.json,.\data\task_26\stator2\Mis_line1d_mid_stator2_task_26.json,.\data\task_26\stator3\Mis_line1d_mid_stator3_task_26.json,.\data\task_26\rotor1\ent_area2d_exit_rotor1_task_26.json,.\data\task_26\rotor2\ent_area2d_exit_rotor2_task_26.json,.\data\task_26\rotor3\ent_area2d_exit_rotor3_task_26.json,.\data\task_26\stator1\ent_area2d_exit_stator1_task_26.json,.\data\task_26\stator2\ent_area2d_exit_stator2_task_26.json,.\data\task_26\stator3\ent_area2d_exit_stator3_task_26.json
.\data\task_27,Design B 90% p2_120000,46.71114,Design B,1.488973,0.9,GAC,0.96,.\data\task_27\rotor1\Mis_line1d_mid_rotor1_task_27.json,.\data\task_27\rotor2\Mis_line1d_mid_rotor2_task_27.json,.\data\task_27\rotor3\Mis_line1d_mid_rotor3_task_27.json,.\data\task_27\stator1\Mis_line1d_mid_stator1_task_27.json,.\data\task_27\stator2\Mis_line1d_mid_stator2_task_27.json,.\data\task_27\stator3\Mis_line1d_mid_stator3_task_27.json,.\data\task_27\rotor1\ent_area2d_exit_rotor1_task_27.json,.\data\task_27\rotor2\ent_area2d_exit_rotor2_task_27.json,.\data\task_27\rotor3\ent_area2d_exit_rotor3_task_27.json,.\data\task_27\stator1\ent_area2d_exit_stator1_task_27.json,.\data\task_27\stator2\ent_area2d_exit_stator2_task_27.json,.\data\task_27\stator3\ent_area2d_exit_stator3_task_27.json
.\data\task_28,Design B 90% p2_130000,46.70253,Design B,1.559322,0.9,DA,1,.\data\task_28\rotor1\Mis_line1d_mid_rotor1_task_28.json,.\data\task_28\rotor2\Mis_line1d_mid_rotor2_task_28.json,.\data\task_28\rotor3\Mis_line1d_mid_rotor3_task_28.json,.\data\task_28\stator1\Mis_line1d_mid_stator1_task_28.json,.\data\task_28\stator2\Mis_line1d_mid_stator2_task_28.json,.\data\task_28\stator3\Mis_line1d_mid_stator3_task_28.json,.\data\task_28\rotor1\ent_area2d_exit_rotor1_task_28.json,.\data\task_28\rotor2\ent_area2d_exit_rotor2_task_28.json,.\data\task_28\rotor3\ent_area2d_exit_rotor3_task_28.json,.\data\task_28\stator1\ent_area2d_exit_stator1_task_28.json,.\data\task_28\stator2\ent_area2d_exit_stator2_task_28.json,.\data\task_28\stator3\ent_area2d_exit_stator3_task_28.json
.\data\task_29,Design B 90% p2_140000,46.27926,Design B,1.63511,0.9,GAC,1.04,.\data\task_29\rotor1\Mis_line1d_mid_rotor1_task_29.json,.\data\task_29\rotor2\Mis_line1d_mid_rotor2_task_29.json,.\data\task_29\rotor3\Mis_line1d_mid_rotor3_task_29.json,.\data\task_29\stator1\Mis_line1d_mid_stator1_task_29.json,.\data\task_29\stator2\Mis_line1d_mid_stator2_task_29.json,.\data\task_29\stator3\Mis_line1d_mid_stator3_task_29.json,.\data\task_29\rotor1\ent_area2d_exit_rotor1_task_29.json,.\data\task_29\rotor2\ent_area2d_exit_rotor2_task_29.json,.\data\task_29\rotor3\ent_area2d_exit_rotor3_task_29.json,.\data\task_29\stator1\ent_area2d_exit_stator1_task_29.json,.\data\task_29\stator2\ent_area2d_exit_stator2_task_29.json,.\data\task_29\stator3\ent_area2d_exit_stator3_task_29.json
